file,x_center,y_center,semi_major,semi_minor,angle,MorphType,PSType1,PolarOrHost,IsophoteLevel
PGC194266,235.46,235.33,57.45,32.82,24.22,S0,PR,Host,25
PGC194266,238.68,228.75,76.23,31.61,95.35,S0,PR,Polar,25
PGC214093,292.43,291.43,62.66,24.88,30.66,S,PR,Host,25
PGC214093,292.03,292.37,37.33,15.35,125.44,S,PR,Polar,25.5
PGC170228,448.86,448.6,102.11,41.77,18.34,S0,PH,Host,25
PGC170228,449.34,448.42,116.97,99.26,142.58,S0,PH,Polar,25
PGC695925,114.23,111.01,32.86,27.02,58.39,S,PR,Host,25
PGC695925,111.28,112.27,47.56,16.68,124.78,S,PR,Polar,25
2MASXJ15185210+2118064,95.17,96.07,45.22,8.01,130.83,S0-a,PB,Host,25.5
2MASXJ15185210+2118064,94.27,97.48,21.78,18.31,38.01,S0-a,PB,Polar,25.5
PGC998668,241.51,239.84,59.19,45.22,75.47,E,PR,Host,25
PGC998668,251.63,248.23,46.71,13.81,179.44,E,PR,Polar,25
PGC504407,152.58,152.47,64.83,29.04,130.79,S,PR,Host,25
PGC504407,149.51,151.66,46.33,16.85,20.1,S,PR,Polar,25
2MASXJ11182551+5723324,254.61,253.83,31.96,26.92,132.39,E,PR,Host,24
2MASXJ11182551+5723324,255.11,260.58,93.01,39.43,62.5,E,PR,Polar,25
PGC1127350,130.37,132.28,38.57,36.05,103.45,E,PR,Host,25
PGC1127350,131.66,132.82,49,17.47,146.34,E,PR,Polar,25
2MASXJ12192411+6437537,174.18,170.4,31.01,9.12,98.06,S0-a,PR,Host,24
2MASXJ12192411+6437537,173.05,171.53,21.44,16.33,39.13,S0-a,PR,Polar,24
WISEAJ150240.59+100805.1,77.97,78.26,24.99,15.29,67.1,S0-a,PR,Host,25
WISEAJ150240.59+100805.1,74.87,83.15,40.38,12.69,142.54,S0-a,PR,Polar,26
SDSSJ144755.22+222607.4,126.72,126.92,43.76,29.21,34.49,E,PR,Host,25
SDSSJ144755.22+222607.4,127.73,123.02,48.53,35.83,128.71,E,PR,Polar,25
PGC036976,326.02,333.54,34.74,17.66,112.12,S,PH,Host,23
PGC036976,316.07,336.87,89.23,58.63,160.89,S,PH,Polar,25.5
UGC09519,293.03,293.58,103.36,57.61,164.34,S,PH,Host,25
UGC09519,291.98,294.55,110.16,100.18,35.74,S,PH,Polar,25
PGC1872967,452.88,452.41,87.02,37.67,48.45,S0-a,PR,Host,25
PGC1872967,453.75,452.16,47.98,15.94,139.82,S0-a,PR,Polar,25
PGC1033373,140.8,140.5,52.8,28.05,141.15,S0,PR,Host,25
PGC1033373,140.85,135.54,97.71,23.03,153.71,S0,PR,Polar,26.5
PGC446669,275.09,275.21,62.89,21.01,100.61,S0,PH,Host,25
PGC446669,273.09,275.58,67.07,42.85,121.08,S0,PH,Polar,25
PGC753812,145.83,146.46,14.72,5.36,41.87,E,PR,Host,25
PGC753812,145.59,145.44,38.14,14.27,128.67,E,PR,Polar,25
PGC1189273,233.96,232.71,53.11,38.82,176.87,S,PH,Host,25
PGC1189273,232.99,234.31,61.62,49.88,55.29,S,PH,Polar,25
UGC09796,377.99,377.92,67.67,38.5,45.84,S0-a,PR,Host,25
UGC09796,378.25,379.18,176.32,31.8,104.63,S0-a,PR,Polar,25
SPRC108,110.79,110.16,47.8,14.53,164.07,S,PR,Host,25
SPRC108,110.6,112.68,21.64,10.6,75.65,S,PR,Polar,25
PGC793194,248.83,244.95,64.52,37.95,131.14,S,PR,Host,25
PGC793194,248.57,246.8,125.11,36.9,135.11,S,PR,Polar,26
WISEAJ213502.76+002515.4,85.33,85.58,24.74,24.07,65.56,S,PR,Host,25
WISEAJ213502.76+002515.4,84.89,86.49,45.29,12.79,30.71,S,PR,Polar,26
PGC2174073,341.26,333.68,76.92,72.67,67.87,S,PR,Host,25
PGC2174073,320.16,359.15,255.84,53.64,143.51,S,PR,Polar,26.5
UGC07959,351.98,355.91,186.21,49.96,155.17,S0-a,PR,Host,25
UGC07959,358.95,355.86,127.25,62.92,74.56,S0-a,PR,Polar,25.5
PGC174293,143.68,142.63,52.22,30.47,100.08,S,PR,Host,25
PGC174293,142.79,143.03,57.14,28.26,171.42,S,PR,Polar,25
NGC6954,708.93,706.52,161.51,67.52,156.31,S,PH,Host,25
NGC6954,704.07,706.28,162.5,140.9,113.9,S,PH,Polar,25
PGC408116,261.55,261.41,59.18,44.73,81.86,S0-a,PR,Host,25
PGC408116,262.78,257.71,78.87,28.69,43.03,S0-a,PR,Polar,25.5
PGC422318,195.47,199.11,45.95,25.21,12.69,S0,PR,Host,25
PGC422318,198.9,196.97,40.94,10.49,78.83,S0,PR,Polar,25
PGC3637161,106.46,106.72,33.98,27.77,22.3,S,PR,Host,25
PGC3637161,104.63,105.53,50.33,16.41,46.96,S,PR,Polar,25.5
PGC820730,206.43,207.27,44.81,35.51,29.9,E,PR,Host,25
PGC820730,206.09,209.99,63.25,22.96,153.6,E,PR,Polar,25.5
PGC1250794,266.01,266.11,56.3,31.72,123.03,S,PR,Host,25
PGC1250794,266.52,265.61,66.7,45.55,69.4,S,PR,Polar,25
PGC2297293,276.24,269.9,54.36,29.8,177.12,S,PH,Host,25
PGC2297293,272.99,271.14,65.41,53.88,126.5,S,PH,Polar,25
2MASXJ23442713-0933124,99.45,96.86,44.41,11.37,170.09,S,PR,Host,25.5
2MASXJ23442713-0933124,96.42,95.03,26.22,11.99,82.95,S,PR,Polar,25.5
PGC022978,408.14,411.12,84.65,34.43,166.88,S,PH,Host,25
PGC022978,407.01,411.25,81.83,72.58,169.45,S,PH,Polar,25
PGC1940514,338.23,337.05,74.62,51.02,168.24,S0,PH,Host,25
PGC1940514,333.42,337.08,81.99,59.72,53.94,S0,PH,Polar,25
PGC1470709,167.93,164.58,63.4,18.74,144.67,S0-a,PR,Host,25
PGC1470709,168.59,162.21,65.24,52.75,139.1,S0-a,PR,Polar,25
PGC1655823,125.25,121.35,40.32,31.22,163.22,E,PR,Host,25
PGC1655823,124.82,123.82,46.23,18.31,135.12,E,PR,Polar,25
PGC2075833,109.16,109.55,47.12,21.43,25.79,S,PR,Host,25
PGC2075833,115.2,120.3,72.03,33.29,114.62,S,PR,Polar,26.5
PGC1272589,168.15,170.42,74.52,16.53,168.7,S,PB,Host,25
PGC1272589,168.32,172.11,38.58,34.55,9.14,S,PB,Polar,25
PGC589363,109.21,110.89,39.27,13.98,63.7,S,PR,Host,25
PGC589363,106.1,112.09,55.99,13.09,41.78,S,PR,Polar,26
2MASXJ04531986-1946592,343.2,343.73,57.99,40.49,18.12,E,PR,Host,24.5
2MASXJ04531986-1946592,342.35,346.83,35.29,11.93,100.93,E,PR,Polar,24
PGC2709522,272.09,270.01,93.94,74.73,131.03,E,PR,Host,25
PGC2709522,272.66,271.32,99.53,20.31,9.46,E,PR,Polar,25
2MASXJ15394517+4601298,262.86,264.86,99.2,64.47,171.91,S0,PR,Host,25.5
2MASXJ15394517+4601298,262.31,254.56,116.27,65.51,65.4,S0,PR,Polar,25.5
PGC2572144,251.74,250.78,62.61,55.29,120.13,E,PR,Host,25
PGC2572144,235.24,260.01,163.68,73.33,135.76,E,PR,Polar,26
PGC543383,185.85,185.21,35.12,23.53,132.78,S0,PR,Host,25
PGC543383,186.01,183.26,102.46,27.84,65.29,S0,PR,Polar,26
PGC003214,379.9,382.16,99.51,86.93,142.15,S0-a,PR,Host,25
PGC003214,372.24,382.71,123.91,45.48,175.06,S0-a,PR,Polar,25
IC1729,1129.62,1130.3,283.86,161.26,57.44,S0,PH,Host,25
IC1729,1138.51,1138.21,296.45,169.45,31.47,S0,PH,Polar,25
PGC1055214,183.93,183.54,41.51,16.3,84.07,S0,PH,Host,25
PGC1055214,184.4,185.77,43.13,39.63,173.71,S0,PH,Polar,25
PGC3704862,172.97,175.48,52.37,30.29,129.84,S,PR,Host,25.5
PGC3704862,168.78,180.08,81.8,50.15,76.41,S,PR,Polar,25.5
WISEAJ225800.04+000336.8,78.98,78.57,24.15,16.61,13.24,E,PR,Host,25
WISEAJ225800.04+000336.8,78.83,80.2,34.79,14.42,49.5,E,PR,Polar,25.5
PGC2832028,318.58,317.23,60.17,21.94,49.27,S,PH,Host,25
PGC2832028,315.11,322.49,100.26,64.37,138.86,S,PH,Polar,25.5
PGC953410,275.25,274.58,54.11,40.07,52.78,E,PR,Host,25
PGC953410,275.18,274.32,130.4,22.82,169.57,E,PR,Polar,25
PGC1239556,262.23,262.49,54.15,23.84,145.13,S0-a,PH,Host,25
PGC1239556,261.33,263.4,55.14,36.38,135.83,S0-a,PH,Polar,25
PGC132981,152.16,158.86,71.41,41.93,151.23,S,PR,Host,25
PGC132981,146.63,148.43,83.33,70.47,23.79,S,PR,Polar,26.5
PGC327333,150.77,149.19,53.32,44.3,18.32,S,PR,Host,25
PGC327333,149.95,152.06,51.18,15.71,92.32,S,PR,Polar,25
PGC3080598,191.95,192.14,45.83,20.9,148.91,S0-a,PR,Host,25
PGC3080598,191.47,192.68,29.51,12.36,66.74,S0-a,PR,Polar,25
PGC1489167,343.08,343.8,34.06,18.17,44.12,S0-a,PR,Host,25
PGC1489167,342.79,343.95,32.56,7.98,131.08,S0-a,PR,Polar,25
PGC128519,234.4,233.21,68.57,48.66,45.01,S,PR,Host,25
PGC128519,233.21,235.11,126.22,51.42,172.47,S,PR,Polar,26
PGC2223206,196.82,195.9,54.63,37.11,118.49,S,PR,Host,25
PGC2223206,199.86,190.98,63.46,21.11,3.21,S,PR,Polar,25
IC3726,414.69,409.71,171.98,30.53,23.97,S,PR,Host,25
IC3726,408.91,414.85,156.94,94.56,20.3,S,PR,Polar,25
PGC2488754,363.33,362.42,69.99,34.54,123.3,S,PR,Host,25
PGC2488754,364.29,365.33,43.13,20.37,15.14,S,PR,Polar,25
PGC2392742,224.76,230.34,81.86,20.42,121.77,S,PR,Host,25
PGC2392742,233.75,233.23,96.39,29.18,62.14,S,PR,Polar,26
PGC1136783,145.87,147.45,22.45,16.94,7.51,E,PR,Host,25
PGC1136783,145.98,147.79,33,11.12,106.44,E,PR,Polar,25
2MASXJ11040862+0235398,174.49,178.29,29,25.6,143.08,E,PR,Host,24.5
2MASXJ11040862+0235398,177.95,180.28,46.7,14.15,47.14,E,PR,Polar,25.5
SDSSJ113828.58+105050.7,85.63,83.93,34.47,14.9,138.59,S,PR,Host,25
SDSSJ113828.58+105050.7,87.03,86.06,35.6,15.06,40.15,S,PR,Polar,25.5
2MASXJ03023876+0037324,343.01,343.67,21.06,8.25,90.38,S0-a,PR,Host,24
2MASXJ03023876+0037324,343.84,342.95,37.65,25.6,156.95,S0-a,PR,Polar,25.5
PGC1074322,107.29,109.63,48.38,11.74,101.54,S,PB,Host,25
PGC1074322,107.67,107.28,17.93,16.61,29.56,S,PB,Polar,25
PGC945432,167.6,168.33,52.7,50.62,151.6,S0-a,PR,Host,25
PGC945432,161.55,175.42,93.31,38.06,102.64,S0-a,PR,Polar,26
PGC095552,228.56,230,75.57,50.78,163.43,E,PR,Host,25.5
PGC095552,225.29,229.15,96.29,58.78,44.54,E,PR,Polar,25.5
PGC2262434,114.64,114.43,50.31,20.31,160,S,PR,Host,25
PGC2262434,114.01,115.7,42.89,20.43,73.88,S,PR,Polar,25
