NAME,IAU_ID,ALT_NAME,RA,DEC,PSG_TYPE_1,PSG_TYPE_2,CATEGORY_1,CATEGORY_2,MORPHTYPE,EGIS,EGIPS,REFERENCE,LINKS,PGC,RA_LEDA,DEC_LEDA,MORPHTYPE_LEDA,D25_LEDA,REDSHIFT_LEDA,NED_NAME,REDSHIFT_NED,J_MAG_NED,H_MAG_NED,Ks_MAG_NED,SGA_ID,RA_SGA,DEC_SGA,G_MAG_SB26_SGA,G_MAG_SB26_ERR_SGA,R_MAG_SB26_SGA,R_MAG_SB26_ERR_SGA,Z_MAG_SB26_SGA,Z_MAG_SB26_ERR_SGA,D26_SGA,D26_REF,PHDEP_G,PHDEP_R,PHDEP_I,PHDEP_Z,PHDEP_GR,PHDEP_ALL,G_MAG_ASYM_IRAF,G_MAG_ASYM_ERR_IRAF,G_MAG_SB26_IRAF,R26_G_IRAF,R26_G_ERR_IRAF,G_MAG_OUTER_IRAF,R_G_IRAF,R_MAG_ASYM_IRAF,R_MAG_ASYM_ERR_IRAF,R_MAG_SB26_IRAF,R26_R_IRAF,R26_R_ERR_IRAF,R_MAG_OUTER_IRAF,R_R_IRAF,I_MAG_ASYM_IRAF,I_MAG_ASYM_ERR_IRAF,I_MAG_SB26_IRAF,R26_I_IRAF,R26_I_ERR_IRAF,I_MAG_OUTER_IRAF,R_I_IRAF,Z_MAG_ASYM_IRAF,Z_MAG_ASYM_ERR_IRAF,Z_MAG_SB26_IRAF,R26_Z_IRAF,R26_Z_ERR_IRAF,Z_MAG_OUTER_IRAF,R_Z_IRAF,PA_SB26_GR,SMA_SB26_GR,SMB_SB26_GR,G_MAG_SB26_GR,R_MAG_SB26_GR,I_MAG_SB26_GR,Z_MAG_SB26_GR,W1_MAG_IRSA,W1_MAG_ERR_IRSA,W2_MAG_IRSA,W2_MAG_ERR_IRSA,W3_MAG_IRSA,W3_MAG_ERR_IRSA,W4_MAG_IRSA,W4_MAG_ERR_IRSA,A_G,A_R,A_I,A_Z,A_J,A_H,A_Ks,SDSS_SPEC_REDSHIFT,DR10_SPEC_REDSHIFT,DR10_PHOT_REDSHIFT,DR10_PHOT_REDSHIFT_I,DR9_PHOT_REDSHIFT,REDSHIFT,REDSHIFT_SOURCE,DA,SCALE,DL,KCOR_G,KCOR_R,KCOR_I,KCOR_Z,KCOR_J,KCOR_H,KCOR_Ks,KCOR_W1,KCOR_W2,KCOR_W3,KCOR_W4,M_G,M_R,M_I,M_Z,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,M_W4,PHYS_SMA_SB26,LOGMSTAR_WISE,LOGSFR_WISE
,,,deg,deg,,,,,,,,,,,deg,deg,,arcmin,,,,mag,mag,mag,,deg,deg,mag,mag,mag,mag,mag,mag,arcmin,,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag/arcsec^2,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,mag,mag,mag,arcmin,arcmin,mag,arcmin,deg,arcmin,arcmin,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,,,,Mpc,kpc/arcsec,Mpc,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,kpc,dex (log10 Msun),dex (log10 Msun/yr)
PGC1815123,J000005.21+274059.0,EGIPS_J000005.1+274059,0.0216969,27.6830653,PR,,Polar_Tilted Rings,,S,,EGIPS J000005.1+274059,,,1815123,0.0221310,27.6829052,,0.6026,,,,,,,851586,0.0216969,27.6830653,16.321,0.029,15.266,0.034,14.332,0.031,,,28.928,28.201,,27.505,28.832,28.536,16.499,0.033,16.600,0.4188,0.0220,16.456,1.1965,15.5230,0.0350,15.5990,0.5057,0.0539,15.4760,1.1965,,,,,,,,14.696,0.021,14.703,0.7078,0.1316,14.666,1.1965,41.92,0.4869,0.1526,16.534,15.574,,14.711,11.999,0.023,11.925,0.022,8.98,0.028,7.318,0.119,0.203,0.134,0.097,0.073,0.045,0.028,0.019,,,0.055165,,0.049751,0.055165,DR10_PHOT_REDSHIFT,229.48,1.113,255.50,0.128,0.053,,0.020,,,,0.000,0.000,0.000,0.000,-20.768,-21.625,,-22.427,,,,-25.038,-25.112,-28.057,-29.719,33.77,10.950,0.625
PGC1566705,J000041.29+184021.4,EGIPS_J000041.2+184021,0.1720500,18.6726000,PTS,,Forming Polar_Tilted Rings,,S,,EGIPS J000041.2+184021,,,1566705,0.1720500,18.6726000,,0.4074,,,,,,,,,,,,,,,,,,28.666,27.984,,27.112,28.601,28.180,17.615,0.059,17.718,0.2393,0.0331,17.600,0.6244,16.8830,0.0540,16.9420,0.2664,0.0521,16.8710,0.6244,,,,,,,,16.229,0.105,16.281,0.2765,0.0990,16.213,0.6244,161.57,0.2528,0.1269,17.672,16.941,,16.323,13.844,0.033,13.209,0.036,9.83,0.059,7.618,0.259,0.108,0.071,0.052,0.039,0.024,0.015,0.010,,,0.088629,,0.072581,0.088629,DR10_PHOT_REDSHIFT,354.42,1.718,420.03,0.141,0.053,,0.003,,,,0.000,0.000,0.000,0.000,-20.647,-21.298,,-21.877,,,,-24.272,-24.907,-28.286,-30.498,27.46,10.454,0.911
PGC399039,J000056.18-563423.7,PGC399039,0.2340874,-56.5732485,EW,,Extreme Disk Tilts_Warps,,S,,,,,399039,0.2339580,-56.5734167,,0.4416,0.119800,,,,,,612705,0.2340682,-56.5732700,18.028,0.022,17.037,0.028,16.269,0.031,0.6235,SB26,29.616,29.181,28.679,27.978,29.723,29.277,17.821,0.050,18.081,0.3095,0.0052,17.829,0.8392,16.9380,0.0410,17.0750,0.3603,0.0321,16.9430,0.8392,16.526,0.035,16.622,0.3721,0.0221,16.528,0.8392,16.227,0.061,16.308,0.3823,0.0397,16.226,0.8392,147.16,0.3448,0.1286,17.951,17.059,16.620,16.324,13.626,0.024,13.355,0.029,10.242,0.061,8.48,0.332,0.048,0.031,0.023,0.017,0.010,0.006,0.004,,,0.117887,0.122584,0.107080,0.119800,REDSHIFT_LEDA,462.12,2.240,579.48,0.254,0.083,0.036,0.018,,,,0.000,0.000,0.000,0.000,-21.036,-21.854,-22.252,-22.542,,,,-25.189,-25.460,-28.573,-30.335,48.42,10.944,0.851
NGC7802,J000100.43+061431.7,NGC7802,0.2517807,6.2421415,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,81,0.2515845,6.2421075,S0,1.1830,0.017759,NGC 7802,0.017759,10.967,10.232,9.96,889457,0.2517798,6.2421379,13.715,0.007,12.838,0.010,12.150,0.008,2.3968,SB26,29.121,28.108,,27.492,28.776,28.492,13.580,0.020,13.680,1.0275,0.0444,13.554,2.8196,12.7050,0.0220,12.7560,1.2461,0.0793,12.6980,2.8196,,,,,,,,12.028,0.020,12.054,1.5449,0.1258,12.026,2.8196,15.29,1.1612,1.0168,13.626,12.754,,12.074,10.459,0.022,10.481,0.02,9.538,0.052,7.66,0.19,0.179,0.118,0.085,0.064,0.039,0.024,0.017,,,0.021702,,0.021061,0.017759,REDSHIFT_NED,77.29,0.375,80.06,0.027,0.018,,0.010,-0.013,-0.017,-0.036,0.000,0.000,0.000,0.000,-21.043,-21.897,,-22.537,-23.576,-24.292,-24.538,-24.058,-24.036,-24.979,-26.857,28.04,10.591,-0.422
PGC100704,J000112.32-493029.6,PGC100704,0.3013510,-49.5082089,PR,,Polar_Tilted Rings,,S0,,,,,100704,0.3012090,-49.5083056,,0.3631,0.067100,,,,,,972093,0.3013488,-49.5082093,16.490,0.006,15.575,0.007,14.958,0.008,0.6245,SB26,29.360,29.047,28.283,27.577,29.553,28.900,16.416,0.029,16.519,0.2499,0.0391,16.409,0.7239,15.5310,0.0180,15.5790,0.3223,0.0291,15.5160,0.7239,15.154,0.026,15.189,0.3562,0.0185,15.144,0.7239,14.885,0.036,14.885,0.6482,0.0689,14.885,0.7239,104.67,0.2899,0.2482,16.482,15.583,15.209,14.946,13.106,0.037,13.06,0.042,11.642,,8.285,,0.033,0.022,0.016,0.012,0.007,0.004,0.003,,,0.071399,0.072649,0.071923,0.067100,REDSHIFT_LEDA,275.20,1.334,313.37,0.163,0.063,0.042,0.018,,,,0.000,0.000,0.000,0.000,-21.157,-21.986,-22.349,-22.625,,,,-24.374,-24.420,-25.838,-29.195,25.80,10.694,0.434
2MASXJ00012375-0051067,J000123.74-005107.0,2MASXJ00012375-0051067,0.3489071,-0.8519529,PR,,Face-on Polar_Tilted Rings,,S0,,,Mosenkov et al. (2024),https://ui.adsabs.harvard.edu/#abs/2024A%26A...681L..15M/abstract,,0.3489400,-0.8520000,,,0.078152,WISEA J000123.74-005107.1,0.078152,14.242,13.631,13.206,,,,,,,,,,,,29.428,28.968,28.151,27.766,29.514,28.990,16.853,0.032,16.995,0.3659,0.0023,16.851,0.9729,16.0430,0.0310,16.1220,0.3650,0.0307,16.0380,0.9729,15.665,0.041,15.726,0.4214,0.0300,15.664,0.9729,15.419,0.045,15.461,0.4428,0.0543,15.415,0.9729,131.51,0.3938,0.1714,16.945,16.097,15.720,15.460,13.437,0.025,13.328,0.033,12.351,0.457,8.932,0.53,0.115,0.076,0.055,0.041,0.025,0.016,0.011,0.078152,0.078152,0.072689,0.076873,0.075397,0.078152,SDSS_SPEC_REDSHIFT,316.38,1.534,367.77,0.171,0.065,0.030,0.013,-0.054,-0.039,-0.113,0.000,0.000,0.000,0.000,-21.119,-21.847,-22.187,-22.421,-23.557,-24.174,-24.520,-24.391,-24.500,-25.477,-28.896,33.59,10.679,0.324
PGC3092794,J000156.73-035754.4,PGC3092794,0.4863842,-3.9650974,PTS,,Polar_Tilted Tidal Structures,,S,,,,,3092794,0.4861935,-3.9652414,,0.3698,0.022559,WISEA J000156.78-035754.5,0.022559,13.375,12.723,12.547,1209239,0.4865250,-3.9650940,15.702,0.008,15.125,0.008,14.696,0.009,0.7850,SB26,29.102,28.843,28.389,27.618,29.325,28.932,15.482,0.015,15.524,0.3258,0.0616,15.473,0.8644,14.9240,0.0110,14.9530,0.3521,0.0226,14.9110,0.8644,14.712,0.015,14.744,0.3802,0.0196,14.706,0.8644,14.506,0.022,14.529,0.3890,0.0516,14.502,0.8644,14.99,0.3473,0.2812,15.507,14.950,14.746,14.537,12.53,0.024,12.364,0.024,8.267,0.024,6.116,0.054,0.133,0.087,0.063,0.048,0.029,0.018,0.012,,,0.033584,0.029108,0.033542,0.022559,REDSHIFT_NED,97.60,0.473,102.06,0.022,0.023,-0.001,0.005,-0.018,-0.023,-0.059,0.000,0.000,0.000,0.000,-19.675,-20.201,-20.362,-20.568,-21.680,-22.316,-22.450,-22.514,-22.680,-26.777,-28.928,9.99,9.909,0.336
PGC435613,J000203.45-525952.2,PGC435613,0.5143859,-52.9978275,PB,,Polar_Tilted Bulges,,S,,,,,435613,0.5142915,-52.9978889,,0.5012,,,,,,,175851,0.5144219,-52.9978278,17.174,0.012,16.297,0.013,15.600,0.013,0.7363,SB26,29.600,29.227,28.315,27.807,29.741,29.071,17.141,0.029,17.276,0.2634,0.0125,17.128,0.9170,16.2710,0.0180,16.3440,0.3604,0.0360,16.2640,0.9170,15.879,0.029,15.924,0.3453,0.0415,15.862,0.9170,15.560,0.034,15.597,0.3751,0.0888,15.552,0.9170,102.13,0.3695,0.1302,17.194,16.325,15.906,15.591,13.402,0.034,13.283,0.039,10.437,0.093,8.194,,0.062,0.041,0.030,0.022,0.014,0.008,0.006,,,0.074429,0.064538,0.061560,0.064538,DR10_PHOT_REDSHIFT_I,265.50,1.287,300.88,0.151,0.060,0.042,0.019,,,,0.000,0.000,0.000,0.000,-20.329,-21.149,-21.540,-21.836,,,,-23.990,-24.109,-26.955,-29.198,27.83,10.516,0.435
PGC1559541,J000219.05+182601.4,PGC1559541,0.5793669,18.4337273,PTS,,Polar_Tilted Tidal Structures,,S0-a,,,,,1559541,0.5794170,18.4337222,,0.5370,,WISEA J000219.04+182601.5,0.049283,13.657,12.955,12.704,1155438,0.5793748,18.4337335,16.295,0.025,15.358,0.025,14.658,0.028,1.1000,SB26,28.804,28.082,,27.193,28.703,28.261,16.363,0.029,16.486,0.3374,0.0126,16.347,0.7910,15.5030,0.0160,15.5180,0.5354,0.0710,15.4790,0.7910,,,,,,,,14.771,0.027,14.776,0.6449,0.1050,14.760,0.7910,61.30,0.3253,0.2737,16.433,15.508,,14.817,12.764,0.023,12.746,0.026,11.471,0.182,8.858,,0.096,0.063,0.046,0.034,0.021,0.013,0.009,,,0.070829,,0.067603,0.049283,REDSHIFT_NED,206.46,1.001,227.31,0.110,0.048,,0.018,-0.031,-0.025,-0.104,0.000,0.000,0.000,0.000,-20.503,-21.376,,-22.059,-23.116,-23.816,-23.984,-24.019,-24.037,-25.312,-27.925,32.16,10.561,-0.031
